




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (5597)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ_brain.intersect_with_DeepZ.genes_uniq.txt (FDR)
cellular macromolecule localization (GO:0070727)	1386	549	376.67	+	1.46	3.71E-14	6.14E-12
generation of precursor metabolites and energy (GO:0006091)	391	154	106.26	+	1.45	1.37E-04	6.21E-03
heterocycle catabolic process (GO:0046700)	315	124	85.61	+	1.45	6.37E-04	2.27E-02
macromolecule modification (GO:0043412)	2825	1111	767.74	+	1.45	1.84E-28	8.75E-26
cellular protein localization (GO:0034613)	1376	541	373.95	+	1.45	1.69E-13	2.58E-11
cellular nitrogen compound catabolic process (GO:0044270)	321	126	87.24	+	1.44	5.79E-04	2.14E-02
organelle localization (GO:0051640)	480	188	130.45	+	1.44	3.03E-05	1.66E-03
nitrogen compound metabolic process (GO:0006807)	6360	2487	1728.43	+	1.44	2.59E-78	2.03E-74
positive regulation of cell cycle (GO:0045787)	307	120	83.43	+	1.44	1.03E-03	3.43E-02
organonitrogen compound catabolic process (GO:1901565)	1029	401	279.65	+	1.43	9.27E-10	9.05E-08
cellular metabolic process (GO:0044237)	7029	2734	1910.24	+	1.43	1.27E-88	1.99E-84
cellular catabolic process (GO:0044248)	1615	628	438.90	+	1.43	7.39E-15	1.37E-12
aromatic compound catabolic process (GO:0019439)	337	131	91.58	+	1.43	6.23E-04	2.24E-02
cellular protein modification process (GO:0006464)	2610	1013	709.31	+	1.43	3.79E-24	1.35E-21
protein modification process (GO:0036211)	2610	1013	709.31	+	1.43	3.79E-24	1.32E-21
establishment of organelle localization (GO:0051656)	348	135	94.57	+	1.43	6.10E-04	2.21E-02
cellular component assembly (GO:0022607)	2251	867	611.74	+	1.42	1.10E-19	3.16E-17
regulation of cellular response to stress (GO:0080135)	637	245	173.11	+	1.42	4.97E-06	3.12E-04
protein metabolic process (GO:0019538)	3807	1461	1034.61	+	1.41	7.73E-35	4.67E-32
protein localization (GO:0008104)	1901	725	516.63	+	1.40	1.25E-15	2.46E-13
primary metabolic process (GO:0044238)	6869	2618	1866.75	+	1.40	7.76E-75	4.06E-71
positive regulation of organelle organization (GO:0010638)	583	222	158.44	+	1.40	2.19E-05	1.23E-03
regulation of apoptotic signaling pathway (GO:2001233)	348	132	94.57	+	1.40	1.33E-03	4.19E-02
organic substance catabolic process (GO:1901575)	1587	593	431.29	+	1.37	1.44E-11	1.69E-09
nitrogen compound transport (GO:0071705)	1578	589	428.85	+	1.37	1.87E-11	2.14E-09
carbohydrate derivative biosynthetic process (GO:1901137)	539	201	146.48	+	1.37	1.55E-04	6.97E-03
establishment of localization in cell (GO:0051649)	1618	603	439.72	+	1.37	1.47E-11	1.71E-09
regulation of organelle organization (GO:0033043)	1189	442	323.13	+	1.37	1.30E-08	1.15E-06
catabolic process (GO:0009056)	1882	697	511.46	+	1.36	6.10E-13	8.57E-11
organic substance metabolic process (GO:0071704)	7404	2722	2012.15	+	1.35	1.00E-65	2.24E-62
negative regulation of protein modification process (GO:0031400)	500	183	135.88	+	1.35	6.47E-04	2.31E-02
cellular localization (GO:0051641)	2264	828	615.28	+	1.35	2.37E-14	4.09E-12
macromolecule localization (GO:0033036)	2308	844	627.23	+	1.35	1.30E-14	2.35E-12
metabolic process (GO:0008152)	7882	2882	2142.05	+	1.35	4.00E-70	1.26E-66
organophosphate biosynthetic process (GO:0090407)	490	179	133.16	+	1.34	8.08E-04	2.79E-02
microtubule cytoskeleton organization (GO:0000226)	521	189	141.59	+	1.33	6.97E-04	2.47E-02
organonitrogen compound metabolic process (GO:1901564)	4787	1736	1300.94	+	1.33	1.04E-31	5.62E-29
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1902	688	516.90	+	1.33	3.43E-11	3.91E-09
negative regulation of macromolecule biosynthetic process (GO:0010558)	1558	563	423.41	+	1.33	3.18E-09	2.94E-07
proteolysis (GO:0006508)	1216	439	330.47	+	1.33	2.59E-07	2.00E-05
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1547	557	420.42	+	1.32	6.43E-09	5.80E-07
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1538	552	417.97	+	1.32	1.12E-08	9.95E-07
microtubule-based process (GO:0007017)	765	274	207.90	+	1.32	9.37E-05	4.43E-03
positive regulation of cellular component organization (GO:0051130)	1119	400	304.11	+	1.32	2.06E-06	1.39E-04
positive regulation of macromolecule biosynthetic process (GO:0010557)	1847	659	501.95	+	1.31	6.23E-10	6.28E-08
negative regulation of RNA metabolic process (GO:0051253)	1433	510	389.44	+	1.31	9.92E-08	8.16E-06
positive regulation of RNA metabolic process (GO:0051254)	1737	618	472.06	+	1.31	3.41E-09	3.11E-07
cellular component organization or biogenesis (GO:0071840)	5496	1954	1493.62	+	1.31	9.67E-33	5.63E-30
negative regulation of biosynthetic process (GO:0009890)	1649	586	448.14	+	1.31	1.03E-08	9.16E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1616	574	439.17	+	1.31	1.66E-08	1.42E-06
regulation of cellular protein localization (GO:1903827)	538	191	146.21	+	1.31	1.55E-03	4.80E-02
regulation of cellular protein metabolic process (GO:0032268)	2328	825	632.67	+	1.30	6.66E-12	7.99E-10
negative regulation of gene expression (GO:0010629)	879	311	238.88	+	1.30	5.79E-05	2.96E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1949	687	529.67	+	1.30	1.28E-09	1.21E-07
regulation of protein metabolic process (GO:0051246)	2492	878	677.24	+	1.30	3.29E-12	4.13E-10
positive regulation of cellular metabolic process (GO:0031325)	3186	1121	865.84	+	1.29	1.22E-15	2.43E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	2992	1052	813.12	+	1.29	1.51E-14	2.70E-12
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3906	1369	1061.51	+	1.29	4.61E-19	1.25E-16
regulation of macromolecule biosynthetic process (GO:0010556)	3935	1379	1069.40	+	1.29	2.95E-19	8.27E-17
negative regulation of nitrogen compound metabolic process (GO:0051172)	2380	831	646.80	+	1.28	7.40E-11	8.37E-09
negative regulation of cellular component organization (GO:0051129)	722	252	196.21	+	1.28	6.07E-04	2.20E-02
positive regulation of biosynthetic process (GO:0009891)	1985	692	539.45	+	1.28	4.81E-09	4.37E-07
negative regulation of nucleic acid-templated transcription (GO:1903507)	1324	461	359.82	+	1.28	3.02E-06	1.99E-04
negative regulation of RNA biosynthetic process (GO:1902679)	1326	461	360.36	+	1.28	3.52E-06	2.29E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1322	459	359.27	+	1.28	4.51E-06	2.85E-04
negative regulation of cellular protein metabolic process (GO:0032269)	962	334	261.44	+	1.28	9.81E-05	4.60E-03
regulation of cellular biosynthetic process (GO:0031326)	4088	1419	1110.98	+	1.28	1.19E-18	3.03E-16
cellular component organization (GO:0016043)	5298	1839	1439.81	+	1.28	1.10E-25	4.34E-23
negative regulation of protein metabolic process (GO:0051248)	1028	356	279.37	+	1.27	6.91E-05	3.40E-03
negative regulation of cellular metabolic process (GO:0031324)	2546	880	691.91	+	1.27	8.61E-11	9.67E-09
regulation of biosynthetic process (GO:0009889)	4152	1435	1128.37	+	1.27	2.51E-18	6.16E-16
positive regulation of nucleic acid-templated transcription (GO:1903508)	1611	555	437.81	+	1.27	8.16E-07	5.72E-05
positive regulation of transcription, DNA-templated (GO:0045893)	1611	555	437.81	+	1.27	8.16E-07	5.70E-05
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3931	1354	1068.31	+	1.27	1.11E-16	2.39E-14
positive regulation of RNA biosynthetic process (GO:1902680)	1613	555	438.36	+	1.27	8.32E-07	5.78E-05
regulation of transferase activity (GO:0051338)	873	300	237.25	+	1.26	4.05E-04	1.58E-02
positive regulation of protein metabolic process (GO:0051247)	1455	500	395.42	+	1.26	3.80E-06	2.45E-04
negative regulation of transcription by RNA polymerase II (GO:0000122)	932	319	253.28	+	1.26	3.53E-04	1.42E-02
positive regulation of cellular protein metabolic process (GO:0032270)	1366	467	371.23	+	1.26	1.38E-05	8.01E-04
organic substance transport (GO:0071702)	1927	658	523.69	+	1.26	1.64E-07	1.32E-05
regulation of protein modification process (GO:0031399)	1483	506	403.03	+	1.26	5.97E-06	3.72E-04
regulation of nitrogen compound metabolic process (GO:0051171)	5537	1888	1504.76	+	1.25	2.61E-23	8.92E-21
regulation of RNA metabolic process (GO:0051252)	3698	1259	1004.99	+	1.25	3.76E-14	6.16E-12
regulation of cellular metabolic process (GO:0031323)	5928	2017	1611.02	+	1.25	4.52E-25	1.69E-22
phosphorylation (GO:0016310)	874	297	237.52	+	1.25	7.88E-04	2.73E-02
negative regulation of macromolecule metabolic process (GO:0010605)	2737	930	743.82	+	1.25	4.36E-10	4.51E-08
regulation of primary metabolic process (GO:0080090)	5707	1936	1550.96	+	1.25	3.75E-23	1.25E-20
positive regulation of macromolecule metabolic process (GO:0010604)	3382	1146	919.11	+	1.25	2.52E-12	3.30E-10
cell death (GO:0008219)	978	331	265.79	+	1.25	5.35E-04	2.00E-02
negative regulation of metabolic process (GO:0009892)	2952	998	802.25	+	1.24	1.93E-10	2.12E-08
positive regulation of metabolic process (GO:0009893)	3675	1242	998.74	+	1.24	3.74E-13	5.44E-11
regulation of cellular component organization (GO:0051128)	2359	795	641.09	+	1.24	3.47E-08	2.93E-06
apoptotic process (GO:0006915)	905	304	245.95	+	1.24	1.37E-03	4.30E-02
programmed cell death (GO:0012501)	942	316	256.00	+	1.23	1.04E-03	3.44E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1185	396	322.04	+	1.23	3.05E-04	1.26E-02
regulation of nucleic acid-templated transcription (GO:1903506)	3416	1129	928.35	+	1.22	5.87E-10	5.95E-08
regulation of transcription, DNA-templated (GO:0006355)	3415	1128	928.08	+	1.22	6.63E-10	6.64E-08
regulation of RNA biosynthetic process (GO:2001141)	3421	1129	929.71	+	1.21	7.69E-10	7.61E-08
regulation of macromolecule metabolic process (GO:0060255)	6083	2003	1653.15	+	1.21	6.46E-19	1.69E-16
regulation of apoptotic process (GO:0042981)	1426	469	387.54	+	1.21	2.45E-04	1.04E-02
phosphorus metabolic process (GO:0006793)	1779	585	483.47	+	1.21	3.59E-05	1.95E-03
regulation of programmed cell death (GO:0043067)	1456	478	395.69	+	1.21	2.49E-04	1.05E-02
regulation of metabolic process (GO:0019222)	6586	2159	1789.84	+	1.21	3.65E-20	1.08E-17
phosphate-containing compound metabolic process (GO:0006796)	1758	576	477.76	+	1.21	5.73E-05	2.94E-03
regulation of gene expression (GO:0010468)	4749	1553	1290.61	+	1.20	6.87E-13	9.55E-11
regulation of transcription by RNA polymerase II (GO:0006357)	2538	823	689.74	+	1.19	3.39E-06	2.22E-04
regulation of cell death (GO:0010941)	1593	515	432.92	+	1.19	4.31E-04	1.67E-02
positive regulation of cellular process (GO:0048522)	5580	1737	1516.45	+	1.15	7.44E-09	6.68E-07
negative regulation of cellular process (GO:0048523)	4785	1480	1300.40	+	1.14	7.48E-07	5.27E-05
negative regulation of biological process (GO:0048519)	5187	1596	1409.65	+	1.13	5.51E-07	4.05E-05
positive regulation of biological process (GO:0048518)	6062	1844	1647.44	+	1.12	4.61E-07	3.45E-05
cellular process (GO:0009987)	15074	4518	4096.59	+	1.10	7.77E-32	4.36E-29
biological_process (GO:0008150)	17698	5081	4809.70	+	1.06	5.19E-23	1.70E-20
cellular response to stimulus (GO:0051716)	6392	1614	1737.12	-	.93	1.50E-03	4.65E-02
multicellular organismal process (GO:0032501)	6584	1633	1789.30	-	.91	6.43E-05	3.25E-03
response to chemical (GO:0042221)	4055	985	1102.01	-	.89	4.04E-04	1.59E-02
response to stimulus (GO:0050896)	8039	1943	2184.72	-	.89	3.32E-09	3.06E-07
regulation of immune system process (GO:0002682)	1418	316	385.36	-	.82	8.49E-04	2.91E-02
cell surface receptor signaling pathway (GO:0007166)	2030	451	551.68	-	.82	3.78E-05	2.03E-03
signal transduction (GO:0007165)	4727	1043	1284.63	-	.81	2.77E-12	3.59E-10
cell communication (GO:0007154)	5167	1140	1404.21	-	.81	1.27E-13	1.99E-11
signaling (GO:0023052)	5064	1102	1376.22	-	.80	7.87E-15	1.44E-12
response to external stimulus (GO:0009605)	2406	523	653.87	-	.80	5.69E-07	4.16E-05
transmembrane transport (GO:0055085)	1182	246	321.23	-	.77	6.67E-05	3.33E-03
cation transport (GO:0006812)	827	172	224.75	-	.77	9.38E-04	3.16E-02
cell-cell signaling (GO:0007267)	1030	210	279.92	-	.75	6.93E-05	3.40E-03
regulation of cytokine production (GO:0001817)	715	144	194.31	-	.74	6.98E-04	2.47E-02
regulation of immune response (GO:0050776)	905	182	245.95	-	.74	1.13E-04	5.22E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1519	303	412.81	-	.73	1.77E-07	1.40E-05
ion transport (GO:0006811)	1173	233	318.78	-	.73	3.84E-06	2.45E-04
inorganic cation transmembrane transport (GO:0098662)	576	113	156.54	-	.72	1.13E-03	3.67E-02
cation transmembrane transport (GO:0098655)	641	125	174.20	-	.72	4.04E-04	1.58E-02
immune system process (GO:0002376)	2370	454	644.08	-	.70	9.25E-14	1.48E-11
regulation of lymphocyte activation (GO:0051249)	532	101	144.58	-	.70	5.82E-04	2.14E-02
metal ion transport (GO:0030001)	613	116	166.59	-	.70	2.00E-04	8.78E-03
regulation of leukocyte activation (GO:0002694)	619	117	168.22	-	.70	1.79E-04	7.88E-03
inorganic ion transmembrane transport (GO:0098660)	642	121	174.47	-	.69	1.13E-04	5.23E-03
response to biotic stimulus (GO:0009607)	1418	266	385.36	-	.69	2.82E-09	2.62E-07
synaptic signaling (GO:0099536)	448	84	121.75	-	.69	1.32E-03	4.18E-02
regulation of cell activation (GO:0050865)	663	124	180.18	-	.69	6.83E-05	3.38E-03
cellular divalent inorganic cation homeostasis (GO:0072503)	460	86	125.01	-	.69	1.05E-03	3.45E-02
regulation of ion transport (GO:0043269)	685	128	186.16	-	.69	5.10E-05	2.66E-03
ion transmembrane transport (GO:0034220)	854	159	232.09	-	.69	3.82E-06	2.45E-04
response to other organism (GO:0051707)	1372	253	372.86	-	.68	1.25E-09	1.20E-07
response to external biotic stimulus (GO:0043207)	1373	253	373.13	-	.68	1.25E-09	1.20E-07
divalent inorganic cation homeostasis (GO:0072507)	483	89	131.26	-	.68	4.45E-04	1.72E-02
cellular calcium ion homeostasis (GO:0006874)	425	78	115.50	-	.68	9.61E-04	3.23E-02
calcium ion homeostasis (GO:0055074)	438	80	119.03	-	.67	7.66E-04	2.68E-02
positive regulation of immune system process (GO:0002684)	898	163	244.04	-	.67	5.17E-07	3.84E-05
cell adhesion (GO:0007155)	952	172	258.72	-	.66	1.79E-07	1.41E-05
biological adhesion (GO:0022610)	958	172	260.35	-	.66	1.05E-07	8.60E-06
Unclassified (UNCLASSIFIED)	2897	516	787.30	-	.66	5.19E-23	1.67E-20
anion transport (GO:0006820)	446	79	121.21	-	.65	2.47E-04	1.05E-02
cytokine-mediated signaling pathway (GO:0019221)	353	62	95.93	-	.65	1.08E-03	3.54E-02
positive regulation of cytokine production (GO:0001819)	465	81	126.37	-	.64	1.12E-04	5.21E-03
regulation of immune effector process (GO:0002697)	339	59	92.13	-	.64	1.06E-03	3.49E-02
trans-synaptic signaling (GO:0099537)	416	72	113.05	-	.64	2.25E-04	9.74E-03
chemical synaptic transmission (GO:0007268)	398	68	108.16	-	.63	2.04E-04	8.90E-03
anterograde trans-synaptic signaling (GO:0098916)	398	68	108.16	-	.63	2.04E-04	8.87E-03
defense response to other organism (GO:0098542)	989	166	268.78	-	.62	7.64E-10	7.60E-08
regulation of cytosolic calcium ion concentration (GO:0051480)	322	54	87.51	-	.62	6.01E-04	2.20E-02
innate immune response (GO:0045087)	783	131	212.79	-	.62	4.23E-08	3.54E-06
positive regulation of leukocyte activation (GO:0002696)	426	71	115.77	-	.61	6.56E-05	3.29E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	284	47	77.18	-	.61	1.15E-03	3.71E-02
positive regulation of immune response (GO:0050778)	563	93	153.00	-	.61	2.65E-06	1.77E-04
defense response (GO:0006952)	1387	229	376.94	-	.61	3.51E-14	5.86E-12
cell-cell adhesion (GO:0098609)	515	85	139.96	-	.61	6.80E-06	4.21E-04
positive regulation of cell activation (GO:0050867)	437	72	118.76	-	.61	3.16E-05	1.73E-03
system process (GO:0003008)	2040	335	554.40	-	.60	3.98E-21	1.23E-18
positive regulation of lymphocyte activation (GO:0051251)	381	62	103.54	-	.60	8.46E-05	4.05E-03
immune response-regulating signaling pathway (GO:0002764)	363	58	98.65	-	.59	7.22E-05	3.52E-03
inflammatory response (GO:0006954)	502	76	136.43	-	.56	3.37E-07	2.58E-05
activation of immune response (GO:0002253)	338	49	91.86	-	.53	1.11E-05	6.54E-04
nervous system process (GO:0050877)	1418	205	385.36	-	.53	9.75E-21	2.95E-18
immune effector process (GO:0002252)	435	61	118.22	-	.52	1.71E-07	1.36E-05
regulation of B cell activation (GO:0050864)	216	30	58.70	-	.51	2.26E-04	9.76E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	290	40	78.81	-	.51	1.40E-05	8.12E-04
immune response (GO:0006955)	1678	231	456.02	-	.51	1.84E-27	8.25E-25
sodium ion transport (GO:0006814)	177	24	48.10	-	.50	7.03E-04	2.48E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	33	66.58	-	.50	4.72E-05	2.47E-03
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	223	30	60.60	-	.50	1.06E-04	4.97E-03
response to bacterium (GO:0009617)	722	97	196.21	-	.49	8.61E-13	1.18E-10
cell recognition (GO:0008037)	228	30	61.96	-	.48	6.43E-05	3.24E-03
leukocyte mediated immunity (GO:0002443)	282	37	76.64	-	.48	6.88E-06	4.22E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	263	34	71.47	-	.48	9.09E-06	5.43E-04
immune response-activating signal transduction (GO:0002757)	263	34	71.47	-	.48	9.09E-06	5.41E-04
immunoglobulin production (GO:0002377)	155	20	42.12	-	.47	8.08E-04	2.79E-02
production of molecular mediator of immune response (GO:0002440)	158	20	42.94	-	.47	6.26E-04	2.24E-02
antigen receptor-mediated signaling pathway (GO:0050851)	216	27	58.70	-	.46	3.82E-05	2.03E-03
detection of abiotic stimulus (GO:0009582)	137	17	37.23	-	.46	1.07E-03	3.51E-02
lymphocyte mediated immunity (GO:0002449)	235	28	63.86	-	.44	6.83E-06	4.21E-04
detection of external stimulus (GO:0009581)	135	16	36.69	-	.44	6.63E-04	2.36E-02
positive regulation of B cell activation (GO:0050871)	171	20	46.47	-	.43	1.21E-04	5.56E-03
myeloid leukocyte migration (GO:0097529)	124	14	33.70	-	.42	7.76E-04	2.70E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	29	70.12	-	.41	6.63E-07	4.76E-05
immunoglobulin mediated immune response (GO:0016064)	179	20	48.65	-	.41	3.80E-05	2.04E-03
B cell mediated immunity (GO:0019724)	183	20	49.73	-	.40	2.10E-05	1.18E-03
plasma membrane invagination (GO:0099024)	141	15	38.32	-	.39	1.68E-04	7.48E-03
sensory perception (GO:0007600)	978	103	265.79	-	.39	5.94E-26	2.46E-23
cell killing (GO:0001906)	125	13	33.97	-	.38	3.45E-04	1.40E-02
leukocyte chemotaxis (GO:0030595)	145	15	39.41	-	.38	9.14E-05	4.35E-03
regulation of cell killing (GO:0031341)	99	10	26.90	-	.37	9.68E-04	3.24E-02
sodium ion transmembrane transport (GO:0035725)	122	12	33.16	-	.36	1.87E-04	8.22E-03
granulocyte migration (GO:0097530)	96	9	26.09	-	.34	7.30E-04	2.56E-02
antimicrobial humoral response (GO:0019730)	141	13	38.32	-	.34	2.74E-05	1.51E-03
regulation of postsynaptic membrane potential (GO:0060078)	98	9	26.63	-	.34	5.27E-04	1.98E-02
neutrophil migration (GO:1990266)	88	8	23.92	-	.33	1.03E-03	3.43E-02
defense response to Gram-negative bacterium (GO:0050829)	92	8	25.00	-	.32	5.30E-04	1.98E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1216	102	330.47	-	.31	1.05E-42	8.68E-40
killing of cells of other organism (GO:0031640)	86	7	23.37	-	.30	5.23E-04	1.97E-02
adaptive immune response (GO:0002250)	640	49	173.93	-	.28	6.71E-25	2.45E-22
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	5	18.21	-	.27	1.37E-03	4.30E-02
humoral immune response (GO:0006959)	337	25	91.58	-	.27	4.49E-14	7.28E-12
granulocyte chemotaxis (GO:0071621)	83	6	22.56	-	.27	2.45E-04	1.04E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	12	45.38	-	.26	1.13E-07	9.23E-06
defense response to bacterium (GO:0042742)	350	23	95.12	-	.24	4.95E-16	1.02E-13
neuropeptide signaling pathway (GO:0007218)	109	7	29.62	-	.24	1.08E-05	6.41E-04
neutrophil chemotaxis (GO:0030593)	78	5	21.20	-	.24	2.26E-04	9.75E-03
phagocytosis, engulfment (GO:0006911)	132	8	35.87	-	.22	4.28E-07	3.22E-05
sensory perception of taste (GO:0050909)	68	4	18.48	-	.22	4.24E-04	1.65E-02
B cell receptor signaling pathway (GO:0050853)	130	7	35.33	-	.20	1.68E-07	1.34E-05
detection of stimulus (GO:0051606)	694	36	188.60	-	.19	1.39E-36	9.12E-34
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	128	6	34.79	-	.17	6.09E-08	5.06E-06
extracellular matrix disassembly (GO:0022617)	47	2	12.77	-	.16	1.35E-03	4.24E-02
complement activation, classical pathway (GO:0006958)	124	5	33.70	-	.15	3.05E-08	2.59E-06
lymphocyte chemotaxis (GO:0048247)	50	2	13.59	-	.15	9.56E-04	3.22E-02
complement activation (GO:0006956)	139	5	37.78	-	.13	1.16E-09	1.12E-07
detection of stimulus involved in sensory perception (GO:0050906)	558	15	151.64	-	.10	3.71E-40	2.54E-37
detection of biotic stimulus (GO:0009595)	38	1	10.33	-	.10	1.46E-03	4.53E-02
monocyte chemotaxis (GO:0002548)	42	1	11.41	-	.09	6.16E-04	2.23E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	11.41	-	.09	6.16E-04	2.22E-02
sensory perception of chemical stimulus (GO:0007606)	542	12	147.30	-	.08	2.16E-41	1.62E-38
phagocytosis, recognition (GO:0006910)	107	2	29.08	-	.07	2.73E-09	2.56E-07
detection of chemical stimulus (GO:0009593)	524	9	142.40	-	.06	7.63E-43	6.67E-40
sensory perception of smell (GO:0007608)	468	6	127.19	-	.05	1.28E-40	9.12E-38
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	3	132.62	-	.02	1.40E-46	1.69E-43
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	1	120.39	-	 < 0.01	2.61E-45	2.93E-42
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	9.78	-	 < 0.01	3.09E-04	1.27E-02
sensory perception of bitter taste (GO:0050913)	41	0	11.14	-	 < 0.01	7.59E-05	3.68E-03
